Feature	MSE	Logloss
MS4A1TSS	0.007441071658235929	0.048459443626023765
MTOR	0.008211282653132403	0.052003137690942024
MYCany	0.007234107787846174	0.04567436610604584
MYCBCL6	0.008388505970414536	0.05005137589641111
MYCIGH	0.007054423350363011	0.04658265330288436
MYCIGK	0.006433546663831064	0.0446356536987297
MYCIGL	0.005874038914940194	0.04438457396158297
MYCOTHER	0.007112639629359406	0.04902255130167119
MYD88	0.0063786250924324234	0.04609071220934729
MYD88HOTSPOT	0.00884884062837325	0.05252381645038698
MYO1ETSS	0.007885500485534517	0.05293249178920624
NCOA3TSS	0.007582127624998028	0.05235607957105685
NFKB1	0.00845850613810445	0.05542238620972676
NFKBIA	0.007794285663311463	0.05031335305219006
NFKBIE	0.007412190611832625	0.048143313863722094
NFKBIZ3UTR	0.010366574212117414	0.05641470677599005
NOL9	0.0074861818955554195	0.048483142765158665
NOTCH1	0.006657723804367994	0.04523129241391115
NOTCH1HOTSPOT	0.007299390638034152	0.0477990583612517
NOTCH2	0.007102104856558607	0.04634893763510148
NOTCH2HOTSPOT	0.008143560467055382	0.04722850200476405
NRAS	0.0067370072389919405	0.046301642163719424
OSBPL10	0.00682857829147529	0.04669281928116653
P2RX5TSS	0.008663842492006192	0.05192440800599293
P2RY8	0.009646243251963608	0.056730763035130985
PAX5	0.00991691588393089	0.0583774848914285
PAX5distalenhancer1	0.008702944631499239	0.053927004099238555
PAX5TSS2	0.009482666138043442	0.06077443543778463
PCBP1	0.00828349781454395	0.0535512150446177
PDS5B	0.009479513683859636	0.058894761377315016
PIK3CD	0.010408804434050721	0.058672923190961894
PIK3R1	0.00805804707381374	0.05149062607916448
PIM1any	0.008947953161324056	0.05319690864457167
PIM2	0.008009451560254852	0.048810254524597196
PIM2TSS	0.008584126576539173	0.05060328082739687
POU2AF1	0.009157162431041213	0.05411639236913074
POU2AF1TSS	0.008347133101877154	0.04846886702458237
POU2F2	0.009217797070774832	0.054487137262605824
PRDM1	0.010081184384508255	0.05524997269871467
PRKCB	0.008929056686301921	0.053143289439833555
PRKDC	0.008403518613614831	0.05153694158593412
PTEN	0.008381381200594694	0.05121908041666378
PTPN1TSS	0.007416490552769478	0.046499179747245746
PTPN6	0.0075728416527529215	0.04726916110209336
PTPRC	0.006691215322772963	0.04438877540614724
RB1	0.009297348174420928	0.05446815465458165
REL	0.00761547061906672	0.04834096427369215
RFTN1	0.008843672416016813	0.0517411528960846
RFTN1TSS	0.007712198876030496	0.04714003272281796
RFX7	0.007327535531607025	0.04506756461423946
RFXAP	0.0070892064150420275	0.04400907020247524
RHOA	0.008539243875452815	0.04944021118757257
RHOHTSS	0.009132404918825908	0.05259965631995483
RRAGC	0.008186733904265397	0.048934027470879354
S1PR2	0.008176046582623457	0.050594080629402044
S1PR2TSS	0.008504788054476175	0.049225757933222924
SEPT9intronic	0.007746748404410822	0.04824018072658673
SERPINA9TSS	0.00897058157644686	0.049691265169328876
SETD1B	0.008587957963304022	0.05292914162359035
SF3B1	0.008152428522240043	0.05097531391811974
SGK1TSS1	0.0077674932800477275	0.048355014682629094
SIN3A	0.009292249936819418	0.05556803601943756
SMARCA4	0.008944322297884992	0.0559698146358473
SOCS1	0.007786058828128878	0.05075716352795687
SPEN	0.009162320876564194	0.05468133246456364
SPIB	0.007799099427425129	0.04836527930760932
ST6GAL1intronic2	0.008184007099596156	0.051139646563457146
ST6GAL1TSS2	0.00765295359197338	0.04995955008809432
STAT3	0.007256673671220228	0.04893422228544266
STAT6	0.006203747226104408	0.046204826287815186
STAT6HOTSPOT	0.0071056794029887875	0.04947033395732376
TBL1XR1	0.00986696046885649	0.05721481678209898
TCF3	0.008094201332590503	0.05128668503970645
TCL1ATSS	0.008690927464017712	0.05398743246645344
TET2	0.008233347492498492	0.05115458787740622
TLR2	0.0078093975646392	0.04972209388801795
TMEM30A	0.008554451300449446	0.05217077495284078
TMSB4X	0.013426893332898917	0.06713989207003726
TMSB4Xintronic	0.008018308476413808	0.05101475755103828
TNFAIP3	0.008300127192321002	0.053262354995115564
TNFRSF14	0.009139366603489154	0.054768091305729516
TNFRSF14HOTSPOT	0.009711039332423732	0.05720709407578708
TOX	0.009124029438393813	0.05356186041375729
TP53MUTorLOSS	0.012369729063428462	0.0663693393531128
TP53HOTSPOT	0.010738629026026883	0.06163478594283567
UBE2A	0.012067523875705038	0.0661282062473183
USP7	0.010813199912520256	0.06651610052848228
WEE1	0.01096834584989	0.06281897496689803
WHSC1	0.009986095038033504	0.0606841174656868
XPO1	0.00919365380687163	0.057874303298414885
ZC3H12A	0.008494276534972922	0.05432536551430106
ZCCHC7intron1	0.008006238539070025	0.050882299238336176
ZEB2	0.008846156352557347	0.05305519055660031
ZFP36L1	0.008697577269175851	0.05419957253439987
ZFP36L1TSS	0.00904993482761144	0.056832954978202246
